id,entity,type,louv_community_weighted
9918,Wyawahare,PERSON,15549
9919,Majitha,GPE,4688
9920,Fatehpura village,GPE,12381
9921,Kalligudi,GPE,215
9922,Kalluru,GPE,6619
9923,Cheryl Apartments,ORG,15549
9924,Charkhi Dadari,GPE,4688
9925,Marungapuri,GPE,215
9926,Kodali Nani,PERSON,6619
9927,PM Kisan Scheme,ORG,3644
9928,Shobha,PERSON,18149
9929,Dhillon,PERSON,4688
9930,Sant Ram Singh,PERSON,4688
9931,Pedaparimi,GPE,6619
9932,Amreli District Diamond Association,ORG,12381
9933,Sikkalli,GPE,215
9934,Pardeep Rapria,PERSON,4688
9935,Bandaru Dattatreya,POL,3644
9936,B N Raju,PERSON,10780
9937,Ch Manavendranath Roy,PERSON,6619
9938,rai,PERSON,15549
9939,Payakaraopeta,GPE,6619
9940,Milma,ORG,215
9941,MOHALI,GPE,937
9942,Nannilam,GPE,215
9943,Pramendra Singh Dobhal,PERSON,3644
9944,Monce Joseph,PERSON,11194
9945,Mattigatti village,GPE,2763
9946,Naik,PERSON,3160
9947,Tasmac,ORG,215
9948,The Samkyukta Kisan Morcha,ORG,4688
9949,the Class I Contractors Welfare Association,ORG,215
9950,Thullur,GPE,6619
9951,Deeg,GPE,8841
9952,Manmad,GPE,15549
9953,NIA,ORG,4688
9954,Pradeep Jain Aditya,PERSON,3644
9955,Bairiya,GPE,3644
9956,Tajpur,GPE,3644
9957,Mangli Prasad,PERSON,3644
9958,Saini,GPE,3644
9959,Mohammadpur Mandawali,GPE,3644
9960,Sikh Sangathan,ORG,3644
9961,Bajpur,GPE,3644
9962,R Murugan,PERSON,215
9963,Pradeep Dasarwar,PERSON,15549
9964,Garg,PERSON,4688
9965,Ambheta Chand,GPE,3644
9966,Maggar Singh,PERSON,4688
9967,Daran Khap,PERSON,4688
9968,the Maharashtra State Bank Employees Federation,ORG,15549
9969,the directorate of animal husbandry and veterinary services,ORG,3160
9970,University of Kerala,ORG,499
9971,Civic Action Guild,ORG,15549
9972,Rajguru Nagar,GPE,4688
9973,Sartoli,GPE,3644
9974,Lucknow,GPE,3644
9975,Canacona Tendulkar,PERSON,3160
9976,Mithalal Singh,PERSON,8841
9977,Manish Chauhan,PERSON,3644
9978,Dehgam,GPE,12381
9979,Deepender,PERSON,4688
9980,Abdullah,PERSON,15549
9981,Akash,DIR,3644
9982,Njarackal,GPE,11194
9983,Jammu & Kashmir’s,GPE,18149
9984,Sachin,PERSON,13467
9985,Dankaur,GPE,937
9986,Angamaly,GPE,252
9987,Eklavya Foundation,ORG,10780
9988,Rajamani,PERSON,215
9989,Kheri Naru,GPE,4688
9990,Harshad Prabhudesai,PERSON,3160
9991,Gir west,GPE,12381
9992,Desiya Thenninthiya Nathigal Inaippu Vivasayigal Sangam,ORG,215
9993,Gujarat Gas,ORG,12381
9994,Punjab Police Service,ORG,4688
9995,Western Avenue Residents’ Welfare Association,ORG,15549
9996,Matsya Vikas Yojana,PERSON,10780
9997,Akola,ORG,15549
9998,Talaja,GPE,12381
9999,Mahipalpur,GPE,3644
10000,the state human rights commission,ORG,3644
10001,Nilesh Cabral,PERSON,3160
10002,Kamareddy district,GPE,12381
10003,Kisan Mazdoor Sangharsh Committee,ORG,4688
10004,Telangana Kisan,ORG,6266
10005,Maharashtra Electricity Regulatory Commission,ORG,15549
10006,Risia,GPE,3644
10007,Myuru,GPE,2763
10008,Tikaram Jully,PERSON,8841
10009,Barinderjit.Saluja Mohali:,PERSON,937
10010,Priyamvada Tomar,PERSON,3644
10011,Vinoba Bhave,PERSON,19072
10012,Shiralu,GPE,3003
10013,SBS Nagar,GPE,4688
10014,P Maniarasan,PERSON,4229
10015,Shatabdi Express,ORG,937
10016,Kannur,GPE,11194
10017,Vadali,GPE,12381
10018,Nara Lokesh,DIR,6619
10019,Ramkaran Kala,PERSON,4688
10020,Hingmire,PERSON,15549
10021,Bathinda/Chandigarh:,GPE,4688
10022,DSP,ORG,215
10023,Sukhdarshan Natt,PERSON,4688
10024,Super Specialty Hospital,ORG,15549
10025,Asha Lakra,PERSON,10780
10026,Heena,PERSON,12381
10027,Shimla,GPE,6266
10028,Subhash Desai,PERSON,15549
10029,FDO,ORG,18149
10030,Durairaj,PERSON,215
10031,BATHINDA/JAIPUR,GPE,4688
10032,the ministry of external affairs,ORG,6266
10033,Jamuna Murmu,PERSON,10780
10034,Swain,PERSON,8841
10035,Balbir Singh,POL,4688
10036,Barkhera,GPE,3644
10037,Junagadh Agricultural University,ORG,12381
10038,Ambasamudram,GPE,215
10039,Pollution Control Board,ORG,6619
10040,Swami Vivekananda,PERSON,18149
10041,Gariyadhar,GPE,12381
10042,Rangel,PERSON,3160
10043,Nikhil Pawar,PERSON,15549
10044,Yavatmal-Wardha,GPE,4229
10045,Kuldeep Pandey,PERSON,3644
10046,Vaishali,PERSON,10780
10047,Jagdish Singh,POL,4688
10048,KK Das,PERSON,15549
10049,Bhira,GPE,3644
10050,Jagannathan,DIR,215
10051,agricul,ORG,2763
10052,Raigaon,GPE,13467
10053,Hojiwala,GPE,13467
10054,Wargal,GPE,18149
10055,Basaveshwaranagar,GPE,2763
10056,K Dorairaj,PERSON,4496
10057,R Kamaraj,PERSON,215
10058,MGM Hospital,ORG,2763
10059,The urban development department,ORG,2763
10060,Rohtas Yadav,PERSON,8841
10061,Ahlawat,PERSON,3644
10062,Ch Malla Reddy,PERSON,18149
10063,The Department of Agricultural Marketing and Agri Business,ORG,215
10064,Government Hospital,ORG,215
10065,the High Court,ORG,3644
10066,Ruchi,PERSON,1561
10067,Adatiyas,ORG,15549
10068,Satyam,DIR,3644
10069,Mahmood Awais,PERSON,18149
10070,J V Akshatha,PERSON,2763
10071,Varanashi Krishna Moorthy,PERSON,3003
10072,Beryl Apartments,ORG,15549
10073,Ajay Kumar Mishra,DIR,3644
10074,Swamimalai Swaminatha Swamy temple,ORG,215
10075,Milind Shambharkar,PERSON,15549
10076,Federations of Farmers Producers Organisations,ORG,15549
10077,Sachin Yadav,DIR,13467
10078,B J Deshmukh,PERSON,15549
10079,Kundu,PERSON,6619
10080,Kanwaljeet Khanna,PERSON,4688
10081,Nandigama mandal,GPE,2763
10082,the Department of Extension Education and Communication Management,ORG,4688
10083,Tarkulani,GPE,3644
10084,Gadde Seshagiri Rao,PERSON,6619
10085,Arjunwad,GPE,15549
10086,Naik Gaonkar,PERSON,3160
10087,Khergarh,GPE,2763
10088,Kinnakorai,GPE,215
10089,KOTA,GPE,8841
10090,Kuditre village,GPE,15549
10091,K Sridhar,PERSON,3644
10092,Vallabhipur,GPE,12381
10093,IARI,ORG,1527
10094,Ninasam Sathish,PERSON,2763
10095,Yogendra Yadavji,POL,8841
10096,MIDC,ORG,15549
10097,Rangapuram,GPE,18149
10098,the Kisan Mazdoor Mahapanchayat,ORG,4688
10099,Balkar Singh Sandhu,PERSON,4688
10100,Banas Dairy,ORG,12381
10101,Ravulapalem Agriculture Market Committee Traders’ Association,ORG,6619
10102,Amul,ORG,8841
10103,Usgao-Ganjem,GPE,3160
10104,Sangeeta Shroff,PERSON,15549
10105,Tractor Manufacturers’ Association,ORG,15549
10106,Seloo,GPE,15549
10107,Sujith Karun,PERSON,2273
10108,Dindi,GPE,18149
10109,K Prithvirajkumar,PERSON,215
10110,Gaurav Ashok Bhoyar,PERSON,18149
10111,Kothur Tadepalli,GPE,6619
10112,Ghatanji,GPE,4229
10113,JSM Foods Private Limited,ORG,13467
10114,Gurjeet Singh Dhillon,PERSON,3644
10115,the Sugarcane Farmers’ Facilitation Committee,ORG,3160
10116,College of Agriculture,ORG,3644
10117,Naalaiya Theerpu,PERSON,215
10118,Navinipatti,GPE,215
10119,National Thermal Power Corporation,ORG,3644
10120,D Jayakumar,POL,215
10121,Jamtara,GPE,10780
10122,V J Chavda,PERSON,12381
10123,Jaisalmer,ORG,8841
10124,Mobha village,GPE,2763
10125,Shabu,PERSON,2763
10126,GRP,ORG,4229
10127,Chhotkipona village,GPE,10780
10128,Rasimanal,GPE,215
10129,Panigate,GPE,19072
10130,Dinesh Naidu,PERSON,15549
10131,Arijili Dasu,PERSON,6619
10132,Sahaspur,GPE,3644
10133,Balbir,PERSON,4688
10134,Pipalda,GPE,8841
10135,Kohara,GPE,4688
10136,Soumya Kanti Ghosh,PERSON,4688
10137,Rajendranagar,GPE,18149
10138,SHUATS,ORG,3644
10139,Godhra,GPE,12381
10140,Radaur,GPE,4688
10141,Mohd Naseem,POL,3644
10142,Umrer,GPE,15549
10143,Kushboo,PERSON,215
10144,Chaitanya Nakade,PERSON,2056
10145,Dewas,GPE,13467
10146,Subhash Raju Nehare,PERSON,4229
10147,N Koteshwar Rao,PERSON,18149
10148,the Maharashtra State Electricity Distribution Corporation Limited,ORG,15549
10149,Shekhar Bharti,PERSON,3644
10150,Mission Bhagiratha,ORG,18149
10151,Harpal Singh,PERSON,3644
10152,Cholapur Mahesh Kumar Singh,PERSON,4389
10153,Amarpal,PERSON,3644
10154,Jitendra Badwai,PERSON,15549
10155,Sirsa,GPE,4688
10156,Bapchaya,GPE,13467
10157,Donate Life,ORG,12381
10158,Kalveerampalayam,GPE,215
10159,Bhanji Khan Malek,PERSON,12381
10160,Davanagere University,ORG,2763
10161,K Nagu,PERSON,6619
10162,TOM,ORG,2763
10163,Medanta,ORG,3644
10164,New Delhi,GPE,4688
10165,Kasulabad,GPE,18149
10166,Dnyaneshwar Jadhav,PERSON,15549
10167,Savoi-Verem,GPE,3160
10168,Kaliravan village,GPE,19072
10169,Gaddige,GPE,2763
10170,Telangana State Road Transport Corporation,ORG,18149
10171,UPSRTC,ORG,3644
10172,Kusum,ORG,8841
10173,Dharmkot,GPE,4688
10174,Chaitanyapuri,GPE,18149
10175,Punjab Congress,ORG,4688
10176,Popatpara,GPE,12381
10177,Ajith Kumar,DIR,11194
10178,Pineapple Traders Association,ORG,11194
10179,Girdhari Lal Sahu,PERSON,3644
10180,Kamal,POL,6619
10181,Chaitanya Mandlik,PERSON,12381
10182,Giridhar,DIR,6619
10183,Anamalai,DIR,215
10184,Capt Amarinder Singh,PERSON,4688
10185,Irugur,GPE,215
10186,Najafgarh,GPE,4688
10187,Anoop Singh,POL,3644
10188,Taltareshettalli,GPE,2763
10189,Bhaner,GPE,12381
10190,Santosh Bankar,PERSON,15549
10191,Ashok Dhawaskar,PERSON,3160
10192,Kanwalpreet Singh Pannu,PERSON,4688
10193,Mandeep Malik,PERSON,4688
10194,Bhairavnath Shelke,PERSON,15549
10195,Virendrapal,PERSON,8841
10196,Maruthavanam,GPE,215
10197,Communist Party of India,ORG,215
10198,Kulwinder,PERSON,937
10199,JMFC,ORG,2763
10200,Diya Kumari,PERSON,8841
10201,Atyutapuram,GPE,6619
10202,IHBAS-Dilshad Garden,ORG,4688
10203,Federation of Automobile Dealers Associations,ORG,215
10204,Nagamani,PERSON,2763
10205,Abhishek Choudhary,DIR,8841
10206,Karpe,PERSON,6266
10207,Dhanouri,GPE,3644
10208,Ramnagar village,GPE,692
10209,Awadh Prant Sanyojak,PERSON,10780
10210,Ibrahimpur,GPE,15549
10211,Arif Mohammad Khan,POL,215
10212,Manisha Dhawde,PERSON,15549
10213,Bhandariwad Faliya,GPE,12381
10214,St Mary’s Church,ORG,11194
10215,Yalal,GPE,18149
10216,Belgharia,GPE,1561
10217,Nam,ORG,2763
10218,Yelnare,PERSON,6266
10219,Amarinder,ORG,4688
10220,Adesh Gupta,DIR,4688
10221,Mukhtiar Singh,POL,4688
10222,Shivaji Nagar,GPE,13467
10223,Road Transport and Highways,ORG,15549
10224,State Planning Commission,ORG,18149
10225,Gopal Singh Chawla,PERSON,8841
10226,Dhantoli,GPE,15549
10227,Khirsara,GPE,12381
10228,Nitta Gelatin India Ltd,ORG,215
10229,PMCH,ORG,10780
10230,Kalavad,GPE,12381
10231,Muradnagar,GPE,3644
10232,Bhopalgarh,GPE,8841
10233,Narendra Modi‘s,POL,4688
10234,Akshay Solanki,PERSON,12381
10235,K Saravanan,PERSON,215
10236,Goa State Milk Producers’ Union,ORG,3160
10237,Selvi Ramesh,PERSON,215
10238,Tangedco,ORG,215
10239,GIC,ORG,4688
10240,Pradip Biswas,DIR,10780
10241,Bulbul,PERSON,1561
10242,Khalsa Aid India,ORG,4688
10243,Gurdwara Singh Sabha,GPE,4688
10244,Kailash Kumar,POL,15549
10245,Bund Garden,GPE,2763
10246,Laabh Singh,PERSON,4688
10247,Illinois,GPE,3644
10248,Gurjot Malhi,PERSON,4688
10249,THIRUVANATHAPURAM,GPE,215
10250,Rojasara,PERSON,12381
10251,Parkhotampur,GPE,4688
10252,Nandaon taluka,GPE,15549
10253,Musiri,GPE,215
10254,Pilli Mallaiah,PERSON,18149
10255,Rasipuram,GPE,6619
10256,Siripur,GPE,15549
10257,Bha mashah Mandis,GPE,8841
10258,Janipur,GPE,10780
10259,IIT Ropar,ORG,6266
10260,Dawood Guddu Nadaf,PERSON,2763
10261,Pummy Singh,PERSON,10780
10262,Darryl D’Souza,PERSON,3160
10263,Tanot,GPE,8841
10264,Smart Ci,ORG,4688
10265,Aishwarya Bhati,PERSON,4688
10266,Telangana Domestic Workers Union,ORG,18149
10267,Chhabria,PERSON,15549
10268,Gaurav Deep Singh,PERSON,4688
10269,Isora,GPE,12381
10270,Praveeen P Nair,PERSON,215
10271,Sundar,PERSON,10780
10272,Mahesh Kumar,POL,2763
10273,Nitile Mahabaleshwara Bhat,PERSON,3003
10274,Akhil Bhartiya Kisan Mahasabha,ORG,10780
10275,BRTC,ORG,15549
10276,girdawar,GPE,8841
10277,Jamnagar,GPE,12381
10278,S N Shrivastava,PERSON,4688
10279,Dehda village,GPE,12381
10280,HSIIDC,ORG,15549
10281,Chhan,GPE,1341
10282,Ghanghri,GPE,15549
10283,Milinath Shirgaonkar,PERSON,3160
10284,Avertino Miranda,PERSON,3160
10285,Yellaram,GPE,18149
10286,Kalmana village,GPE,15549
10287,Ramurthi,PERSON,18149
10288,SOG,ORG,12381
10289,Corona,PERSON,13467
10290,Vinod Rathod,PERSON,15549
10291,Rakesh Sharma,POL,2763
10292,South Asia Food Policy Research Instit,ORG,15549
10293,Dnyaneshwar Mahagovind,PERSON,15549
10294,Komal Mittal,PERSON,937
10295,Argentina,GPE,6266
10296,Roshan Lal Samtani,PERSON,8841
10297,Kishni,GPE,3644
10298,Nilima Gawas,PERSON,3160
10299,Diwedi,PERSON,3644
10300,Chamarajanagar,GPE,2763
10301,A Govardhan,PERSON,18149
10302,Malla,GPE,4688
10303,forest department,ORG,11194
10304,Prakash Kaskar,PERSON,3160
10305,Dharmesh Patel,PERSON,12381
10306,the United States,GPE,6266
10307,Suresh Kuncolikar,PERSON,3160
10308,Mangrol,GPE,12381
10309,Dehaat,ORG,6266
10310,Tehri,GPE,3644
10311,Vijay Krishna Redekar,PERSON,15549
10312,Bayyaram,GPE,18149
10313,MGNREGS,ORG,215
10314,Chintamani,POL,2763
10315,Satara,GPE,15549
10316,Santiyenthar Varma,PERSON,8841
10317,All Goa Civil Contractors ’ Welfare Association,ORG,3160
10318,Kaduvetti Thiagarajan,PERSON,215
10319,NHIDCL,ORG,18149
10320,Sumit Ratan,PERSON,3644
10321,NGO Foundation for Advancement of Agriculture and Rural Development,ORG,13467
10322,Ashok Kumar,POL,3644
10323,Anthanallur,GPE,215
10324,Nishan Sahib,PERSON,4688
10325,the Madurai Meenakshi Flower Market,GPE,215
10326,Trump,PERSON,6266
10327,Sriveda Bollam,PERSON,18149
10328,The Supreme Court,ORG,1527
10329,MGR,PERSON,215
10330,Shrigonda,GPE,1527
10331,Nagakudi,GPE,215
10332,MoD,ORG,15549
10333,NSSO,ORG,15549
10334,Vallam,GPE,215
10335,KIIFB,ORG,215
10336,Mandeep Singh f,DIR,4688
10337,Yunus Shaikh,PERSON,15549
10338,the Haryana State Warehousing Corporation,ORG,4688
10339,Manasi,PERSON,3644
10340,Agri,PERSON,215
10341,Bharateeya Kisan Sangha,ORG,2763
10342,Arun Singh,POL,4688
10343,Arkalgud,GPE,6266
10344,TSRTC,ORG,18149
10345,Joga Ram,PERSON,8841
10346,Lathar,DIR,3644
10347,Nandgaon Khandeshwar,GPE,15549
10348,Agriculture Produce Market Committees,ORG,15549
10349,TN Sugarcane Farmers Association,ORG,215
10350,Nitin Bhutada,PERSON,15549
10351,Shivkumar Sharma,PERSON,13467
10352,KARNAL,GPE,4688
10353,Jasbir Singh Gill,PERSON,4688
10354,Azad Singh Palwa,PERSON,4688
10355,M/s,ORG,10780
10356,Karapalayam,GPE,215
10357,Katehra village,GPE,4688
10358,Bhalala,PERSON,3644
10359,the Waywin FPC,ORG,11194
10360,Harpreet Singh,POL,4688
10361,Bithri Chainpur,GPE,3644
10362,Kisan Mazdoor Committee,ORG,4688
10363,Nilgiris Bought Leaf Factories Association,ORG,215
10364,Vishnu Dutt Bajpai,PERSON,10780
10365,Poulomi Estates,ORG,18149
10366,Mukesh Dangi,PERSON,12381
10367,Chandragiri,GPE,6619
10368,the Sahitya Akademi,ORG,15549
10369,Sardar Jagtar Singh Bajwa,PERSON,3644
10370,Roma Wilson,PERSON,4688
10371,Chinthaparthivaripalli,GPE,6619
10372,Narayanasamy Naidu Farmers' Association,ORG,215
10373,Ajeez,PERSON,3644
10374,Kappalur,GPE,215
10375,Rajgad,GPE,15549
10376,Makkal Kalai,GPE,215
10377,Aaroli,GPE,15549
10378,Mawana,GPE,3644
10379,MSAMB,ORG,15549
10380,ministry of finance,ORG,215
10381,P Kandasamy,PERSON,215
10382,Vijay Simha Reddy,PERSON,18149
10383,Yadgirigutta,GPE,18149
10384,Sanjay Barde,PERSON,3160
10385,Nagarsol,GPE,937
10386,Anil Ghanawat,PERSON,15549
10387,Hannan Mollah,POL,4688
10388,U Bikshapathi,PERSON,18149
10389,Gursher Singh,PERSON,3644
10390,Iqbal Chahal,PERSON,15549
10391,Yashomati Thakur,PERSON,4688
10392,Pali village,GPE,15549
10393,VRamasubramanian,POL,10780
10394,Ranjeet Chavda,PERSON,12381
10395,Eshika Bhargava,PERSON,15549
10396,Sahendrasinh Zala,PERSON,12381
10397,Dehi,GPE,4688
10398,Pradip Singh Thakur,PERSON,1561
10399,Kulchana village,GPE,3644
10400,Ravi Boratkar,PERSON,15549
10401,K L Dobariya,PERSON,12381
10402,Chaturvedi,PERSON,3644
10403,Hisar SP,ORG,4688
10404,Dhayari,GPE,15549
10405,Nash,ORG,15549
10406,Ram Bhagat,PERSON,937
10407,Vishwa Mohan Singh,PERSON,3644
10408,Krishnanagar,GPE,10780
10409,Hazratganj,GPE,3644
10410,Shahnawaz Alam REWARI,PERSON,8841
10411,SK Pandey,PERSON,3644
10412,Dipak Kumar,PERSON,3644
10413,Firoj Khan,PERSON,4688
10414,M Govinda Rao,PERSON,215
10415,the Kisan Sangarh Samiti,ORG,8841
10416,Harshpreet,PERSON,3644
10417,Harishchandra Raut,PERSON,15549
10418,Sudanpur,GPE,3644
10419,Shilpi Arora,DIR,3644
10420,Kaushal Raj Sharma,PERSON,3644
10421,Naresh Padaliya,PERSON,12381
10422,Mahesh Gude,PERSON,4229
10423,Bangaru Telangana,ORG,18149
10424,P Karu,PERSON,215
10425,Pannu,PERSON,4688
10426,Adinath Hanumante,PERSON,15549
10427,Duni Chand,POL,4688
10428,Haripura,GPE,3644
10429,Kachhigam,GPE,12381
10430,Bijender Singh,DIR,4688
10431,Bhagamandala,GPE,2763
10432,Vellimalaipattinam,GPE,215
10433,Indrajeet Verma,PERSON,3644
10434,Paramparagat Krishi Vikas Yojana,ORG,3003
10435,Dhupguri,GPE,937
10436,Vichitra Singh,PERSON,3644
10437,Morinda,GPE,4688
10438,Radhapuram,GPE,215
10439,Palliyakkal Service Cooperative Bank,ORG,6266
10440,Avudaiyarkoil,GPE,215
10441,Umesh Nandaniya,PERSON,12381
10442,Vellayani,GPE,2763
10443,Palike,PERSON,2763
10444,Bakiyalakshmi Thiruneelakandan,PERSON,215
10445,Vamoli Khedi,GPE,15549
10446,Munna,POL,15549
10447,Chopade,PERSON,15549
10448,Sattar,PERSON,15549
10449,Srinivas,PERSON,18149
10450,Ram Chander Jangra,POL,4688
10451,Northern Arc,ORG,3160
10452,Poonam Redhu,PERSON,4688
10453,HACA,ORG,215
10454,NABSanrakshan Trustee,ORG,15549
10455,Balaji,PERSON,18149
10456,Palavanthangal,GPE,215
10457,GSNS Leelavathi,PERSON,6619
10458,CPI-M,ORG,2763
10459,S Sathamma,PERSON,18149
10460,The National Human Rights Commission,ORG,8841
10461,Sanaur,GPE,3644
10462,Dharminder Malik,PERSON,4688
10463,Dhar Block,GPE,215
10464,Balwant Singh,POL,4688
10465,Kuldeep Chaha,PERSON,4688
10466,Union jal,ORG,8841
10467,KVK,ORG,215
10468,Rythu Bheema,PERSON,18149
10469,Uthaiah,PERSON,18149
10470,Zandel Singh,PERSON,3644
10471,Palayamkotta,GPE,215
10472,Siruganur village,GPE,215
10473,Gulakni village,GPE,4688
10474,Khetihar Jeevan Suraksha Yojana,ORG,937
10475,Hasmukh Gandhi,PERSON,570
10476,Kranthi Kiran,DIR,18149
10477,Sirhind,GPE,4688
10478,Kashi,GPE,3644
10479,Hayat Singh Rana,PERSON,15549
10480,Neralagiri village,GPE,215
10481,Koilwar,GPE,10780
10482,Natarajan,PERSON,215
10483,Machine Gun Kelly,PERSON,6266
10484,Tejashwi Prasad Yadav,PERSON,10780
10485,Dilip Shinde,PERSON,15549
10486,Darna,GPE,15549
10487,UVS Selvakumar,PERSON,215
10488,Somavarpet,GPE,2763
10489,UREDA,ORG,3644
10490,NDCC,ORG,15549
10491,Air India,ORG,4688
10492,S Jayakumar,POL,215
10493,Ramuk,PERSON,12381
10494,Kumar Parvez,PERSON,10780
10495,Shibu Soren,POL,10780
10496,the Hisar Bar Association,ORG,19072
10497,Dayanand Sharma,PERSON,3413
10498,Thomas Unniyadan,PERSON,11194
10499,V Baskaran,PERSON,215
10500,Narenda Modi,POL,4688
10501,Tirath Singh Rawat,PERSON,3644
10502,Mansharam,POL,3644
10503,Ram Nutakki,PERSON,6619
10504,Rathore,PERSON,8841
10505,K Chandra Prakash,PERSON,10780
10506,D P S Randhawa,PERSON,4688
10507,Martyn Day,PERSON,6266
10508,Lanji,GPE,15549
10509,Chikkaballapur,GPE,2763
10510,the Central Bank of India,ORG,3644
10511,Mangeram Tyagi,PERSON,3644
10512,Saleh Mohammad,PERSON,8841
10513,Desumajra,GPE,3644
10514,Narkhi,GPE,3644
10515,The Uttarakhand Renewable Energy Development Agency,ORG,3644
10516,Bhupinder Singh Mann’s,DIR,4688
10517,SD Pawar,PERSON,3644
10518,Dan Singh,PERSON,6266
10519,Kisan Mazdur Sangarsh Committee,ORG,4688
10520,Jalore,GPE,8841
10521,H V Sisara,PERSON,12381
10522,Lovepreet,PERSON,3644
10523,Guleli,GPE,3160
10524,Key Gee Bright Live Stock India Pvt Ltd,ORG,215
10525,Bajwa,PERSON,3644
10526,Kacholiya,GPE,6619
10527,Munesh Gurjar,PERSON,8841
10528,Namami Gange,ORG,3644
10529,Melavastha Savadi,GPE,215
10530,Amir Subhani,PERSON,10780
10531,Champalal Bothra,PERSON,4688
10532,Sonam,PERSON,3644
10533,Indian Institute of Tropical Meteorology,ORG,15549
10534,Balkrishna Sawant,PERSON,15549
10535,Patara Police,ORG,3644
10536,Mahindra Samruddhi Foundation,ORG,15549
10537,Bodi mettu,GPE,215
10538,Nankana Sahib,GPE,8841
10539,Seethanagaram,GPE,6619
10540,Uttam,PERSON,18149
10541,", Ram Pal Jat",PERSON,8841
10542,D S Rawat,PERSON,15549
10543,Kakori,GPE,3644
10544,Arish Kadar,PERSON,3160
10545,Ramgarh Bhundar,PERSON,4688
10546,Girish Chodankar,PERSON,3160
10547,Kule village,GPE,15549
10548,Zala,PERSON,12381
10549,Niljagaon,GPE,15549
10550,Sheakhala,GPE,1561
10551,the Fastener Manufacturers Association of India,ORG,4688
10552,Shamsher Singh Numberdar,PERSON,19072
10553,Radha Kushwaha,PERSON,215
10554,T N Prathapan,PERSON,4688
10555,Chandrakant Patil,DIR,15549
10556,South 24 Parganas,GPE,1561
10557,Panchmahal,GPE,12381
10558,the Uttar Pradesh Sugar Mill Federation,ORG,4688
10559,Kranti,PERSON,18149
10560,Ramkrishna Dhavalikar,PERSON,3160
10561,Diljit Dosanjh,PERSON,7031
10562,Rythu Mitra,GPE,6619
10563,Mokshada Patil,PERSON,2763
10564,Kharid,GPE,4688
10565,Std VIII,ORG,15549
10566,Terai Kisan Sangathan’s,ORG,3644
10567,Brijesh Kumar Singh,POL,3644
10568,Doshiram Ghatal,PERSON,15549
10569,Deen Dayal Upadhyay Sansthan,PERSON,1561
10570,Shiva Subramaniam Samraj,PERSON,215
10571,Sameer Wankhede,PERSON,15549
10572,Gurmel,PERSON,3644
10573,Devadi village,GPE,15549
10574,Ambulance Drivers' Association,ORG,3644
10575,Sumit Jaiswal,DIR,3644
10576,Chhath,GPE,15549
10577,The Panjabrao Deshmukh Krishi Vidyapeeth,ORG,15549
10578,Shimlapuri,GPE,12332
10579,BKC,ORG,15549
10580,Srinivas Redddy,PERSON,18149
10581,Rameshwarpally,GPE,18149
10582,Lusala village,GPE,12381
10583,Kalia,PERSON,3644
10584,Sundarrao Kurhe alias Balu Patil,PERSON,15549
10585,Gokhale,PERSON,15549
10586,Philippines,GPE,4688
10587,Ankla,GPE,12381
10588,Pavithram,GPE,215
10589,the Centre,ORG,1561
10590,United Breweries,ORG,15549
10591,Narsing Rao’s,PERSON,18149
10592,CHC,ORG,15658
10593,Chikkabyadarahalli village,GPE,2763
10594,Gandevi Canning Factory,ORG,12381
10595,Harsh,PERSON,12381
10596,Shinde-Palse,GPE,2851
10597,Kananan Gopinathan,PERSON,1527
10598,Beeda,GPE,8841
10599,Congress North Goa,ORG,3160
10600,Kurudampalayam,GPE,215
10601,Abhijit Prabhudesai,PERSON,3160
10602,Sahebrao Karpe,PERSON,4229
10603,Rameshwar Jat,PERSON,8841
10604,K Chandrashekhar Rao,POL,3644
10605,Coonoor,GPE,215
10606,Peddur,PERSON,18149
10607,Ramrao Wagh,PERSON,3160
10608,Yashwant Guddu Rahangdale,PERSON,15549
10609,Ashok Mehta,DIR,8841
10610,Telangana Real Estate Regulatory Authority,ORG,18149
10611,Dhangar,POL,3160
10612,Vijay Mallya,DIR,15549
10613,Farsram Purohit,PERSON,12381
10614,Mussoorie,GPE,3644
10615,Shahuwadi,GPE,15549
10616,post-Covid,PERSON,12381
10617,Haryana State Agricultural Marketing Board,ORG,4688
10618,Ram Prasad,PERSON,8841
10619,H. Rajamohan,PERSON,3644
10620,Ajay Hooda,PERSON,4688
10621,Deepa Singh,DIR,6266
10622,Salman Khan's,PERSON,2763
10623,Harrawala,GPE,937
10624,Ajaypal,POL,4688
10625,Bhawanigarh,GPE,4688
10626,Rajesh Patnekar,PERSON,3160
10627,Gohil,PERSON,12381
10628,Padalur,GPE,215
10629,Ramesh Pathade,PERSON,15549
10630,Mohan Nagar,GPE,15549
10631,Hara Bania,PERSON,8841
10632,Mehsana,GPE,12381
10633,Gahygaon,GPE,15549
10634,Chickalgaon village,GPE,15549
10635,Bhakta Charan Das,POL,10780
10636,Raikhad,GPE,215
10637,Budalur,GPE,4229
10638,Spices Board,ORG,215
10639,K Veera Raghava Rao,PERSON,15549
10640,Rajasthan High Court,ORG,8841
10641,Leeds,GPE,1561
10642,Sankranti,GPE,3644
10643,the Mission for Integrated Development of Horticulture,ORG,3644
10644,the Nashik District Central Cooperative (NDCC) Bank,ORG,15549
10645,Thiginarai village,GPE,11194
10646,Thanjavur District Co,GPE,215
10647,Neyamat Khan,GPE,10780
10648,R S Chauhan,PERSON,6266
10649,Usilampatti,GPE,215
